"","V1","V2","V3","V4","V5","V6","V7"
"1","0","A","1.57317687175611","0","-0.577213490973701","1","0.0811066804490889"
"2","1","A","-0.966332524406664","1","-0.670912545623356","1","0.475086582063659"
"3","0","C","-0.159102641430279","0","0.582717917865632","6","0.0876992532933276"
"4","1","D","-1.37704984599103","1","1.92714691580972","8","0.524344799210242"
"5","1","A","1.24884651887865","0","1.05412816666898","1","0.694874382004134"
"6","1","A","-0.0560983927532378","0","0.867409557885481","1","0.641170252235818"
"7","0","C","0.874126425396082","2","-2.24695016082446","6","0.574737702069076"
"8","0","C","2.0761187749419","0","0.640018306201604","6","0.0449774698898942"
"9","1","A","1.17845837009027","1","0.574830175482745","1","0.150560078207543"
"10","0","A","2.68131700839395","1","-1.30384021660017","1","0.51843917259436"
"11","1","B","-0.989967665330981","2","-0.259091502507879","3","0.42946782841888"
"12","1","B","-1.15805736053103","1","-0.440740673186007","3","0.54258500844155"
"13","0","C","0.553557064160307","0","-1.49937781405206","6","0.385813400705288"
"14","1","C","-1.13948491295274","0","-1.02635095864614","6","0.0686886680060114"
"15","0","C","1.15860827904548","0","-0.328017029522701","6","0.125925491025732"
"16","0","B","0.392114806348428","2","-1.59152531147769","3","0.796907821124027"
"17","1","A","0.835952820675372","0","0.0773850133796434","1","0.160036659828178"
"18","0","B","1.15858924083196","0","-1.99982887335196","4","0.566538635928593"
"19","1","D","-1.69153281985591","1","1.80670502537517","8","0.0552704669935397"
"20","1","A","1.03192296380422","0","-0.177535926235581","1","0.367390594891428"
"21","0","D","-1.60962714970945","0","-0.535444240393934","9","0.836112747346544"
"22","0","B","0.165872059057118","1","1.52013570327515","4","0.703057037650355"
"23","0","D","0.316547556919999","1","-0.890435451775237","9","0.354166346047776"
"24","1","B","-1.63952053141275","1","1.875242527519","4","0.70370911760304"
"25","0","D","-0.781931356046099","0","0.768101306358181","9","0.278690503438628"
"26","0","C","-0.0138076597302448","0","-0.669964084483995","7","0.125106337041008"
"27","0","D","-0.6638620150572","1","-0.133284115928602","9","0.811612522675586"
"28","1","C","-1.99808331315297","1","-0.344392329104522","7","0.566850807745118"
"29","0","C","-0.234853628265874","1","-0.874398590416321","7","0.515729444270107"
"30","0","B","0.995676980228886","4","-4.15095508805052","4","0.640545452590688"
"31","1","A","0.237173984965024","1","2.2134329248054","1","0.0985397692932986"
"32","0","C","0.081767493746187","0","-1.06218269164791","7","0.108873868980625"
"33","0","D","-1.33812338915689","0","-1.76177096487197","9","0.0309584826733805"
"34","1","C","-0.775491668400877","0","0.207355359415869","7","0.300148608447887"
"35","1","D","-1.85822068190463","1","2.54488908887049","9","0.704363748132913"
"36","0","A","1.50580591062284","1","0.650189506145239","1","0.41360015496625"
"37","1","A","-0.235017051939192","0","1.54527151313784","2","0.0394907146578733"
"38","1","C","-0.723308729946307","0","-2.08970683913729","7","0.635710165397831"
"39","1","B","-1.59244932834187","1","1.06447725931543","4","0.112035187197531"
"40","1","D","-0.8956784620291","2","3.51368904628354","9","0.804993093001377"
"41","1","B","-0.030973448278795","0","1.31307275234762","4","0.518062679490505"
"42","0","B","1.58128002677344","0","-1.6101103745728","4","0.642919273944842"
"43","1","A","1.0395822880158","0","1.24702858784755","2","0.533916364759032"
"44","0","D","-1.01988318913022","0","-1.11426419602501","3","0.577194560191724"
"45","0","A","2.85058501437223","1","2.25662766429372","2","0.0479844629984922"
"46","1","A","0.822340178649114","1","-0.437465046233737","2","0.746341425604164"
"47","1","C","-0.178235953160138","0","0.199201236043135","10","0.0993096051677517"
"48","0","D","-1.06010907482776","0","-0.0472622239584094","9","0.471596769347544"
"49","1","B","-0.867238692010135","1","1.73369406146325","4","0.507156777512358"
"50","0","A","1.52808771754206","0","-1.31648121582448","2","0.184879522096356"
"51","0","B","1.5509517511479","0","-2.35264897153271","4","0.64391856772917"
"52","1","B","-0.6744350760066","0","0.21571360679689","4","0.688562546581628"
"53","0","D","-0.236775990967291","2","2.34241533012103","9","0.604144063015618"
"54","1","B","0.761088800999077","1","1.49329625922287","5","0.597512353261501"
"55","1","A","1.60095052062524","0","0.430755471893739","2","0.584318418568035"
"56","0","B","0.65441314465827","1","-1.55051943268238","5","0.496359499863631"
"57","0","D","-0.5318755847905","1","0.163697714805989","10","0.207040103346855"
"58","1","B","1.06814889099261","0","-1.1050440837949","5","0.0304767895439183"
"59","1","B","1.05978388429057","1","1.44863427791987","5","0.674534667040687"
"60","1","D","-1.48575918016802","1","1.14929100922445","8","0.902780025829041"
"61","0","D","-1.30488904232351","0","-0.782719556458746","10","0.52556584242557"
"62","1","C","-1.45806552165171","0","1.4616862695138","7","0.602708816368141"
"63","0","C","0.600093168562374","0","-0.557092590027504","7","0.337860926737856"
"64","1","B","-0.91875274670469","1","0.765740796182283","9","0.69107132500537"
"65","1","D","-1.51212352562805","0","-1.02267027956184","10","0.00723890205552162"
"66","0","D","1.16135053472868","1","-0.703088457401291","10","0.513339523534991"
"67","1","A","0.862083759319727","1","-0.852165645030453","2","0.720492602637583"
"68","0","A","0.964661998188049","1","-1.34458394188188","2","0.563784913036316"
"69","0","B","2.44613025308601","0","-0.735831299752994","5","0.550442385616443"
"70","1","A","0.716453083880379","1","1.07837400215351","2","0.181937818969359"
"71","1","C","-1.27860987316792","1","0.808391579510286","7","0.85289486859381"
"72","0","B","-2.0137147085102","0","-1.04513887149269","5","0.622888076941314"
"73","1","B","-1.33381024603503","0","0.273548657367537","5","0.0745272559444634"
"74","1","A","1.26671348455733","0","-0.437430201447398","2","0.566045097770699"
"75","1","A","-1.20060317578039","0","1.80871700899313","3","0.263429872292638"
"76","0","D","0.629092121654996","1","-0.302251523008725","10","0.403171042037971"
"77","0","D","-0.744712792647751","0","-0.117836188897914","10","0.40121153772518"
"78","0","C","1.21512308347644","1","0.0433487216008417","8","0.294396496626985"
"79","0","C","0.698591819641318","0","-0.659195152246482","2","0.526045699610509"
"80","0","C","0.00820868363922248","1","0.772670067138639","8","0.853146513982657"
"81","0","C","-0.584205960173082","2","0.349194595139094","8","0.0188547664835141"
"82","0","D","-0.668345947783166","2","-0.793003212548514","10","0.135367978826322"
"83","1","A","0.179608672582392","1","1.65573033903004","3","0.569802224363499"
